Index,Question,Correct Answer,Response
1,Are the butterfly's wings closer to being open or closed? (a) Open (b) Closed,(a),A
2,Are the butterfly's wings closer to being open or closed? (a) Open (b) Closed,(b),A
3,Is the flame of the match more round or thin? (a) Round (b) Thin,(a),The flame of the match is more round in shape.
4,Is the flame of the match more round or thin? (a) Round (b) Thin,(b),The flame of the match is thin.
5,Is the dog facing left or right from the camera's perspective? (a) Left (b) Right,(a),A
6,Is the dog facing left or right from the camera's perspective? (a) Left (b) Right,(b),A
7,Is the school bus driving towards or away from the camera? (a) Towards the camera (b) Away from the camera,(a),A
8,Is the school bus driving towards or away from the camera? (a) Towards the camera (b) Away from the camera,(b),The school bus is driving away from the camera.
9,"Can you see the key ""Z"" in the image? (a) Yes (b) No",(a),No
10,"Can you see the key ""Z"" in the image? (a) Yes (b) No",(b),No
11,Has the peacock opened its tail? (a) Yes (b) No,(a),No
12,Has the peacock opened its tail? (a) Yes (b) No,(b),No
13,Is the image more likely of a single ear of corn or multiple ears (a) Single (b) Multiple,(a),B
14,Is the image more likely of a single ear of corn or multiple ears (a) Single (b) Multiple,(b),B
15,Is there a shadow on the flower? (a) Yes (b) No,(a),No
16,Is there a shadow on the flower? (a) Yes (b) No,(b),No
17,Is the front of the school bus protruding? (a) Yes (b) No,(a),A
18,Is the front of the school bus protruding? (a) Yes (b) No,(b),A
19,Can you see the dorsal fin of the animal? (a) Yes (b) No,(a),Yes
20,Can you see the dorsal fin of the animal? (a) Yes (b) No,(b),Yes
21,Is the duck's entire beak visible in the picture? (a) Yes (b) No,(a),No
22,Is the duck's entire beak visible in the picture? (a) Yes (b) No,(b),No
23,From which angle is this image taken? (a) Front (b) Side,(a),A
24,From which angle is this image taken? (a) Front (b) Side,(b),A
25,What color is the chicken's body? (a) Black (b) Red,(a),The chicken's body is black.
26,What color is the chicken's body? (a) Black (b) Red,(b),B
27,Is the peacock's head visible in the image? (a) Yes (b) No,(a),Yes
28,Is the peacock's head visible in the image? (a) Yes (b) No,(b),No
29,"Based on the image, is the following statement correct: We cannot see the window on the school bus? (a) Correct (b) Incorrect",(a),B) Incorrect
30,"Based on the image, is the following statement correct: We cannot see the window on the school bus? (a) Correct (b) Incorrect",(b),B
31,Is the wind blowing the flag? (a) Yes (b) No,(a),Yes
32,Is the wind blowing the flag? (a) Yes (b) No,(b),Yes
33,Is the butterfly's abdomen visible in the image? (a) Yes (b) No,(a),No
34,Is the butterfly's abdomen visible in the image? (a) Yes (b) No,(b),No
35,Do the vegetables have spikes? (a) Yes (b) No,(a),B
36,Do the vegetables have spikes? (a) Yes (b) No,(b),B
37,What color are the flowers in the background? (a) Pink (b) Violet,(a),A
38,What color are the flowers in the background? (a) Pink (b) Violet,(b),B
39,Is the duck floating? (a) Yes (b) No,(a),Yes
40,Is the duck floating? (a) Yes (b) No,(b),No
41,"Based on the image, is the following statement correct: The spider has 8 legs? (a) Yes (b) No",(a),Yes
42,"Based on the image, is the following statement correct: The spider has 8 legs? (a) Yes (b) No",(b),Yes
43,Are the wheels of the school bus visible in the image? (a) Yes (b) No,(a),No
44,Are the wheels of the school bus visible in the image? (a) Yes (b) No,(b),No
45,Is the shark's belly visible in this image? (a) Yes (b) No,(a),No
46,Is the shark's belly visible in this image? (a) Yes (b) No,(b),No
47,How many spots are on the animal in the image? (a) 5 (b) 6,(a),There are 6 spots on the animal in the image.
48,How many spots are on the animal in the image? (a) 5 (b) 6,(b),There are 6 spots on the animal in the image.
49,Are the arrow keys visible in the image? (a) Yes (b) No,(a),No
50,Are the arrow keys visible in the image? (a) Yes (b) No,(b),No
51,Is the elephant's trunk curled in the picture? (a) Yes (b) No,(a),A
52,Is the elephant's trunk curled in the picture? (a) Yes (b) No,(b),Yes
53,Is the number of pills in the image in the range of countable? (a) Yes (b) No,(a),Yes
54,Is the number of pills in the image in the range of countable? (a) Yes (b) No,(b),Yes
55,Can you see stems of bananas in the image? (a) Yes (b) No,(a),Yes
56,Can you see stems of bananas in the image? (a) Yes (b) No,(b),B
57,Is the crocodile submerged in the water? (a) Yes (b) No,(a),No
58,Is the crocodile submerged in the water? (a) Yes (b) No,(b),No
59,Is the lock locked to the chain-linked fence? (a) Yes (b) No,(a),No
60,Is the lock locked to the chain-linked fence? (a) Yes (b) No,(b),A
61,"Can you see letter ""J"" in the image? (a) Yes (b) No",(a),Yes
62,"Can you see letter ""J"" in the image? (a) Yes (b) No",(b),No
63,"Is the following statement correct: In the image, there is one daisy that is under the shadow of a taller daisy.  (a) Correct (b) Incorrect",(a),B
64,"Is the following statement correct: In the image, there is one daisy that is under the shadow of a taller daisy.  (a) Correct (b) Incorrect",(b),B
65,Is the following statement correct: There is no letter D on this image.  (a) Correct (b) Incorrect,(a),B
66,Is the following statement correct: There is no letter D on this image.  (a) Correct (b) Incorrect,(b),B
67,Are there any clouds? (a) Yes (b) No,(a),Yes
68,Are there any clouds? (a) Yes (b) No,(b),No
69,Did the snake stick out its tongue and touch its skin? (a) Yes (b) No,(a),A
70,Did the snake stick out its tongue and touch its skin? (a) Yes (b) No,(b),A
71,Is the lock locked or unlocked? (a) Locked (b) Unlocked,(a),The lock is locked.
72,Is the lock locked or unlocked? (a) Locked (b) Unlocked,(b),The lock is locked.
73,Is the ground wet? (a) Yes (b) No,(a),A
74,Is the ground wet? (a) Yes (b) No,(b),B
75,Do you see this flower from the top or the side? (a) Top (b) Side,(a),A
76,Do you see this flower from the top or the side? (a) Top (b) Side,(b),A
77,Can you see the caudal fin of the shark in the image? (a) Yes (b) No,(a),No
78,Can you see the caudal fin of the shark in the image? (a) Yes (b) No,(b),No
79,"In the image, is the snake's head oriented facing upwards or directed forwards? (a) Upwards (b) Forward",(a),The snake's head is oriented facing upwards in the image.
80,"In the image, is the snake's head oriented facing upwards or directed forwards? (a) Upwards (b) Forward",(b),The snake's head is oriented facing upwards in the image.
81,Is this a hammerhead shark? (a) Yes (b) No,(a),B
82,Is this a hammerhead shark? (a) Yes (b) No,(b),B
83,Is the door of the truck cab open? (a) Yes (b) No,(a),A
84,Is the door of the truck cab open? (a) Yes (b) No,(b),No
85,Are the ears of the dog erect or drooping? (a) Erect (b) Drooping,(a),The ears of the dog are drooping.
86,Are the ears of the dog erect or drooping? (a) Erect (b) Drooping,(b),The ears of the dog are drooping.
87,Is there a hand using the mouse in the image? (a) Yes (b) No,(a),No
88,Is there a hand using the mouse in the image? (a) Yes (b) No,(b),No
89,Can you see people in this image? (a) Yes (b) No,(a),Yes
90,Can you see people in this image? (a) Yes (b) No,(b),No
91,Are there any words displayed on the vehicle's lightbar? (a) Yes (b) No,(a),Yes
92,Are there any words displayed on the vehicle's lightbar? (a) Yes (b) No,(b),Yes
93,Is there any accessory on the wrists? (a) Yes (b) No,(a),Yes
94,Is there any accessory on the wrists? (a) Yes (b) No,(b),No
95,"From the camera's perspective, is the spider web very dense or relatively sparse? (a) Very dense (b) Relatively sparse",(a),"From the camera's perspective, the spider web appears to be very dense."
96,"From the camera's perspective, is the spider web very dense or relatively sparse? (a) Very dense (b) Relatively sparse",(b),"From the camera's perspective, the spider web appears to be very dense."
97,Does the keyboard have a backlight? (a) Yes (b) No,(a),Yes
98,Does the keyboard have a backlight? (a) Yes (b) No,(b),Yes
99,Does the elephant have long or short tusks? (a) Long (b) Short,(a),A
100,Does the elephant have long or short tusks? (a) Long (b) Short,(b),A
101,What is the woman more likely to do? (a) Bump (b) Set,(a),"The woman in the yellow shirt is more likely to bump the ball, as she is positioned closer to the ball and appears to be preparing to make contact with it. Bumping is a common technique used in volleyball to pass the ball to a teammate, while setting is typically done by the player who is positioned further back in the court."
102,What is the woman more likely to do? (a) Bump (b) Set,(b),"The woman is more likely to bump the ball, as she is positioned closer to the net and is actively reaching for the ball during the game. Bumping is a common volleyball technique used to control the ball and prepare for a set or attack."
103,Is the needle pointing up or down? (a) Up (b) Down,(a),A
104,Is the needle pointing up or down? (a) Up (b) Down,(b),The needle is pointing up in the image.
105,Is the camera positioned at eye level or looking down from above? (a) Eye level (b) Above,(a),"The camera is positioned at eye level, looking down at the green apple."
106,Is the camera positioned at eye level or looking down from above? (a) Eye level (b) Above,(b),A
107,Are the butterfly's feet visible? (a) Yes (b) No,(a),Yes
108,Are the butterfly's feet visible? (a) Yes (b) No,(b),No
109,Are the bird's wings flapping upward or downward? (a) Upward (b) Downward,(a),The bird's wings are flapping upward in the image.
110,Are the bird's wings flapping upward or downward? (a) Upward (b) Downward,(b),The bird's wings are flapping upward in the image.
111,Is the end of the elephant's trunk pointing inward or outward? (a) Inward (b) Outward,(a),The end of the elephant's trunk is pointing outward.
112,Is the end of the elephant's trunk pointing inward or outward? (a) Inward (b) Outward,(b),The end of the elephant's trunk is pointing inward.
113,Do you see any window in this image? (a) Yes (b) No,(a),Yes
114,Do you see any window in this image? (a) Yes (b) No,(b),No
115,Is the snail in the picture facing the camera or away from the camera? (a) Away from the camera (b) Facing the camera ,(a),Away from the camera
116,Is the snail in the picture facing the camera or away from the camera? (a) Away from the camera (b) Facing the camera ,(b),Away from the camera
117,How many eyes of the cat can you see in the picture? (a) 1 (b) 2,(a),"In the picture, you can see one eye of the cat."
118,How many eyes of the cat can you see in the picture? (a) 1 (b) 2,(b),B
119,"In this image, how many eyes can you see on the animal? (a) 1 (b) 2",(a),B
120,"In this image, how many eyes can you see on the animal? (a) 1 (b) 2",(b),B
121,Does this corn have white kernels? (a) Yes (b) No,(a),A
122,Does this corn have white kernels? (a) Yes (b) No,(b),No
