Index,Question,Correct Answer,Response
1,Are the butterfly wings opened or closed in the given image? a) Opened and b) Closed,a),The butterfly wings are opened in the image.
2,Are the butterfly wings opened or closed in the given image? a) Opened and b) Closed,b),The butterfly wings are opened in the image.
3,Is the flame 'thicker and shorter' or 'thinner and longer'? a) 'Thicker and Shorter' b) 'Thinner and longer',a),B
4,Is the flame 'thicker and shorter' or 'thinner and longer'? a) 'Thicker and Shorter' b) 'Thinner and longer',b),B) Thinner and longer
5,Is the dog looking towards left or right? a) left b) right,a),A) Left
6,Is the dog looking towards left or right? a) left b) right,b),A) Left
7,Is this the front view of the bus or the back view of the bus? a)front b)back,a),The image shows the front view of the yellow school bus.
8,Is this the front view of the bus or the back view of the bus? a)front b)back,b),The image shows the back view of the school bus.
9,Is this the front view of the keybaord or the sideview of the keyboard? a)front b)side,a),The image is a close-up of the side view of a keyboard.
10,Is this the front view of the keybaord or the sideview of the keyboard? a)front b)side,b),The image shows the side view of a computer keyboard.
11,Is the peacock's neck bent or straight? a)straight b)bent,a),The peacock's neck is bent.
12,Is the peacock's neck bent or straight? a)straight b)bent,b),The peacock's neck is bent.
13,Is it a zoomed in view of the corn or a zoomed out view? a) zoomed in b)zoomed out,a),A) Zoomed in
14,Is it a zoomed in view of the corn or a zoomed out view? a) zoomed in b)zoomed out,b),A) Zoomed in
15,Is the center of the flower in shade or in sunlight? a)shade b)sunlight,a),"The center of the flower is in shade, as it is surrounded by the white petals."
16,Is the center of the flower in shade or in sunlight? a)shade b)sunlight,b),"The center of the flower is in shade, surrounded by the white petals."
17,Is the bus facing towards left or right? a)left b)right,a),A) Left
18,Is the bus facing towards left or right? a)left b)right,b),A) Left
19,Is the shark facing towards left or right? a)left b)right,a),A) Left
20,Is the shark facing towards left or right? a)left b)right,b),The shark is facing towards the right.
21,Are the duck's feet visible or not? a)yes b)no,b),"Yes, the duck's feet are visible as it swims in the water."
22,Are the duck's feet visible or not? a)yes b)no,a),"Yes, the duck's feet are visible in the image."
23,Is the snake looking towards the camera or sideways? a)towards the camera b)sideways,a),The snake is looking sideways at the camera.
24,Is the snake looking towards the camera or sideways? a)towards the camera b)sideways,b),The snake is looking towards the camera.
25,Is the hen's neck white or reddish? a)white b)reddish,a),B)
26,Is the hen's neck white or reddish? a)white b)reddish,b),B) reddish
27,Is the face of the peacock visible? a) Yes b) No,a),Yes
28,Is the face of the peacock visible? a) Yes b) No,b),No
29,Is there a stop sign on the bus? a)yes b) No,a),B) No
30,Is there a stop sign on the bus? a)yes b) No,b),B) No
31,Is the flag upright or tilted? a) Upright b)tilted,a),"The flag is tilted, as it is flying at an angle."
32,Is the flag upright or tilted? a) Upright b)tilted,b),The flag is tilted.
33,Is this the top view of the butterfly or the side view? a) top b) Side,a),The image shows a side view of a butterfly.
34,Is this the top view of the butterfly or the side view? a) top b) Side,b),The image shows a side view of the butterfly.
35,Are the cucumbers dark green or light green? a)Dark green b)Light green,a),The cucumbers are dark green.
36,Are the cucumbers dark green or light green? a)Dark green b)Light green,b),The cucumbers are light green in color.
37,Are the white flowers behind the butterfly visible or no? a)yes b)no,b),No
38,Are the white flowers behind the butterfly visible or no? a)yes b)no,a),Yes
39,Is the duck in the pond or on dryland? a) pond b) dryland,a),The duck is in the pond.
40,Is the duck in the pond or on dryland? a) pond b) dryland,b),"The duck is on dryland, standing on a rock in the water."
41,Are the spider's legs orange? a)yes b)no,b),B
42,Are the spider's legs orange? a)yes b)no,a),A) Yes
43,How many buses are there in the image? a) one b) many,b),"There are many buses in the image, parked next to each other in a row."
44,How many buses are there in the image? a) one b) many,a),There is only one bus in the image.
45,Is this the bottom or top view of the shark? a) Bottom b) Top,a),B) Top
46,Is this the bottom or top view of the shark? a) Bottom b) Top,b),B) Top
47,How many circular patterns are there on the wings of the butterfly? a)5 b)6,a),There are six circular patterns on the wings of the butterfly.
48,How many circular patterns are there on the wings of the butterfly? a)5 b)6,b),There are six circular patterns on the wings of the butterfly.
49,Is this the side view of the keyboard or the front view? a)side b)front,a),The image is a side view of a white computer keyboard.
50,Is this the side view of the keyboard or the front view? a)side b)front,b),The image shows the side view of the keyboard.
51,Is the elephant facing towards right or left? a)right b)Left,a),A) Right
52,Is the elephant facing towards right or left? a)right b)Left,b),B) Left
53,Are there colored medicine tablets in the picture or just white? a)multi-colored b)just white,b),There are only white medicine tablets in the picture.
