Index,Question,Correct Answer,Response,Score,GPT_Grade
1,Are the butterfly wings opened or closed in the given image? a) Opened and b) Closed,a),The butterfly wings are opened in the given image.,1,yes
2,Are the butterfly wings opened or closed in the given image? a) Opened and b) Closed,b),The butterfly wings are opened in the given image.,0,no
3,Is the flame 'thicker and shorter' or 'thinner and longer'? a) 'Thicker and Shorter' b) 'Thinner and longer',a),The flame is thinner and longer.,0,no
4,Is the flame 'thicker and shorter' or 'thinner and longer'? a) 'Thicker and Shorter' b) 'Thinner and longer',b),"The flame is described as 'thinner and longer,' which means it is not thick and short, but rather thin and extending for a longer distance",1,yes
5,Is the dog looking towards left or right? a) left b) right,a),The dog is looking to the right.,0,no
6,Is the dog looking towards left or right? a) left b) right,b),The dog is looking to the right.,1,yes
7,Is this the front view of the bus or the back view of the bus? a)front b)back,a),This is the front view of the bus.,1,yes
8,Is this the front view of the bus or the back view of the bus? a)front b)back,b),The image shows the back view of the school bus.,1,yes
9,Is this the front view of the keybaord or the sideview of the keyboard? a)front b)side,a),This is a side view of the keyboard.,0,no
10,Is this the front view of the keybaord or the sideview of the keyboard? a)front b)side,b),This is a front view of the keyboard.,0,no
11,Is the peacock's neck bent or straight? a)straight b)bent,a),The peacock's neck is bent.,0,no
12,Is the peacock's neck bent or straight? a)straight b)bent,b),The peacock's neck is bent.,1,yes
13,Is it a zoomed in view of the corn or a zoomed out view? a) zoomed in b)zoomed out,a),The image is a zoomed-in view of the corn.,1,yes
14,Is it a zoomed in view of the corn or a zoomed out view? a) zoomed in b)zoomed out,b),The image is a zoomed-in view of the corn.,0,no
15,Is the center of the flower in shade or in sunlight? a)shade b)sunlight,a),The center of the flower is in sunlight.,0,no
16,Is the center of the flower in shade or in sunlight? a)shade b)sunlight,b),The center of the flower is in sunlight.,1,yes
17,Is the bus facing towards left or right? a)left b)right,a),The bus is facing towards the right.,0,no
18,Is the bus facing towards left or right? a)left b)right,b),The bus is facing towards the right.,1,yes
19,Is the shark facing towards left or right? a)left b)right,a),The shark is facing towards the right.,0,no
20,Is the shark facing towards left or right? a)left b)right,b),The shark is facing towards the right.,1,yes
21,Are the duck's feet visible or not? a)yes b)no,b),"Yes, the duck's feet are visible in the image.",0,no
22,Are the duck's feet visible or not? a)yes b)no,a),"Yes, the duck's feet are visible in the image.",1,yes
23,Is the snake looking towards the camera or sideways? a)towards the camera b)sideways,a),The snake is looking sideways at the camera.,0,no
24,Is the snake looking towards the camera or sideways? a)towards the camera b)sideways,b),The snake is looking sideways at the camera.,0,no
25,Is the hen's neck white or reddish? a)white b)reddish,a),The hen's neck is reddish.,0,no
26,Is the hen's neck white or reddish? a)white b)reddish,b),The hen's neck is reddish.,1,yes
27,Is the face of the peacock visible? a) Yes b) No,a),"Yes, the face of the peacock is visible in the image.",1,yes
28,Is the face of the peacock visible? a) Yes b) No,b),No,1,yes
29,Is there a stop sign on the bus? a)yes b) No,a),"Yes, there is a stop sign on the bus.",1,yes
30,Is there a stop sign on the bus? a)yes b) No,b),"No, there is no stop sign on the bus.",1,yes
31,Is the flag upright or tilted? a) Upright b)tilted,a),The flag is tilted.,0,no
32,Is the flag upright or tilted? a) Upright b)tilted,b),The flag is tilted.,1,yes
33,Is this the top view of the butterfly or the side view? a) top b) Side,a),This is a side view of the butterfly.,0,no
34,Is this the top view of the butterfly or the side view? a) top b) Side,b),This is a side view of the butterfly.,1,yes
35,Are the cucumbers dark green or light green? a)Dark green b)Light green,a),The cucumbers are dark green.,1,yes
36,Are the cucumbers dark green or light green? a)Dark green b)Light green,b),The cucumbers are dark green.,0,no
37,Are the white flowers behind the butterfly visible or no? a)yes b)no,b),"Yes, the white flowers behind the butterfly are visible in the image.",0,no
38,Are the white flowers behind the butterfly visible or no? a)yes b)no,a),"Yes, the white flowers behind the butterfly are visible in the image.",1,yes
39,Is the duck in the pond or on dryland? a) pond b) dryland,a),The duck is in the pond.,1,yes
40,Is the duck in the pond or on dryland? a) pond b) dryland,b),The duck is standing on a rock in the pond.,0,no
41,Are the spider's legs orange? a)yes b)no,b),"Yes, the spider's legs are orange.",0,no
42,Are the spider's legs orange? a)yes b)no,a),"Yes, the spider's legs are orange.",1,yes
43,How many buses are there in the image? a) one b) many,b),"There are many buses in the image, lined up in a row.",1,yes
44,How many buses are there in the image? a) one b) many,a),There is only one bus in the image.,1,yes
45,Is this the bottom or top view of the shark? a) Bottom b) Top,a),This is a top view of the shark.,0,no
46,Is this the bottom or top view of the shark? a) Bottom b) Top,b),This is a bottom view of the shark.,0,no
47,How many circular patterns are there on the wings of the butterfly? a)5 b)6,a),There are six circular patterns on the wings of the butterfly.,0,no
48,How many circular patterns are there on the wings of the butterfly? a)5 b)6,b),There are six circular patterns on the wings of the butterfly.,1,yes
49,Is this the side view of the keyboard or the front view? a)side b)front,a),This is the side view of the keyboard.,1,yes
50,Is this the side view of the keyboard or the front view? a)side b)front,b),This is the side view of the keyboard.,0,no
51,Is the elephant facing towards right or left? a)right b)Left,a),The elephant is facing towards the right.,1,yes
52,Is the elephant facing towards right or left? a)right b)Left,b),The elephant is facing towards the left.,1,yes
53,Are there colored medicine tablets in the picture or just white? a)multi-colored b)just white,b),The image shows a white pill bottle with white pills inside. There are no colored medicine tablets in the picture.,1,yes
54,Are there colored medicine tablets in the picture or just white? a)multi-colored b)just white,a),"The picture shows a variety of colored medicine tablets, including red, yellow, blue, and green.",1,yes
55,Are the bannanas covering the whole image frame? a) yes b) no,b),"No, the bananas are not covering the whole image frame. They are positioned in the lower half of the image, with the top half being",1,yes
56,Are the bannanas covering the whole image frame? a) yes b) no,a),"No, the bannanas are not covering the whole image frame. There is a gap between the bannanas and the edges of the image.",1,yes
57,Is the allegator in water or on land? a)water b)land,a),The alligator is in the water.,1,yes
58,Is the allegator in water or on land? a)water b)land,b),The alligator is in the water.,0,no
59,Are there any chains on the lock? a)yes b)no,b),"Yes, there are chains on the lock.",0,no
60,Are there any chains on the lock? a)yes b)no,a),"Yes, there are chains on the lock.",1,yes
61,Is the letter 'J' visible on the keyboard? a)yes b)no,a),"Yes, the letter 'J' is visible on the keyboard.",1,yes
62,Is the letter 'J' visible on the keyboard? a)yes b)no,b),"No, the letter 'J' is not visible on the keyboard.",0,no
63,Is the background behind flowers mostly green? a)yes b)no,b),"Yes, the background behind the flowers is mostly green.",0,no
64,Is the background behind flowers mostly green? a)yes b)no,a),"Yes, the background behind the flowers is mostly green.",1,yes
65,Are the keys black or white? a)black b)white,b),The keys are white.,1,yes
66,Are the keys black or white? a)black b)white,a),The keys are black.,1,yes
67,Are there any clouds in the sky? a)yes b)no,a),"Yes, there are clouds in the sky.",1,yes
68,Are there any clouds in the sky? a)yes b)no,b),No,1,yes
69,Is the snake facing towards left or right? a) right b) left,b),The snake is facing towards the left.,1,yes
70,Is the snake facing towards left or right? a) right b) left,a),The snake is facing towards the left.,0,no
71,Is the lock closed or open? a) closed b)open,a),The lock is closed.,1,yes
72,Is the lock closed or open? a) closed b)open,b),"The lock is closed, as it is attached to a blue wall with a chain.",0,no
73,Is this a top view of the cycle? a) yes b)no,a),"Yes, this is a top view of the cycle.",1,yes
74,Is this a top view of the cycle? a) yes b)no,b),"Yes, this is a top view of the cycle.",0,no
75,Is the flower bud open or closed? a)open b)close,a),The flower bud is open.,1,yes
76,Is the flower bud open or closed? a)open b)close,b),The flower bud is open.,0,no
77,Is the water light blue or dark blue? a) light blue b) darkblue,b),The water is dark blue.,1,yes
78,Is the water light blue or dark blue? a) light blue b) darkblue,a),The water is dark blue.,0,no
79,Is the snake's head lying on its body? a) yes b) no,a),"Yes, the snake's head is lying on its body.",1,yes
80,Is the snake's head lying on its body? a) yes b) no,b),"Yes, the snake's head is lying on its body.",0,no
81,Are there single or mutiple fishes? a) single b)multiple,a),There is a single fish in the image.,1,yes
82,Are there single or mutiple fishes? a) single b)multiple,b),"There are multiple fishes in the image, including a shark and a group of fish swimming together.",1,yes
83,Is the truck facing left or right? a) yes b)no,b),Yes,0,no
84,Is the truck facing left or right? a) yes b)no,a),Yes,0,no
85,Are the dog ears erected or drooping down? a)erected b)drooping down,a),The dog's ears are erected.,1,yes
86,Are the dog ears erected or drooping down? a)erected b)drooping down,b),The dog's ears are drooping down.,1,yes
87,Is a wire visible in the image? a)yes b)no,a),"Yes, a wire is visible in the image, as it is attached to the computer keyboard.",1,yes
88,Is a wire visible in the image? a)yes b)no,b),No,1,yes
89,Are there trees present in front of the mosque? a)yes b)no,b),"No, there are no trees present in front of the mosque.",1,yes
90,Are there trees present in front of the mosque? a)yes b)no,a),"Yes, there are trees present in front of the mosque.",1,yes
91,What is the text written on the side of the van? a)POLIZEI b)POLICE,a),"The text written on the side of the van is ""POLIZEI.""",1,yes
92,What is the text written on the side of the van? a)POLIZEI b)POLICE,a),"The text written on the side of the van is ""POLIZEI.""",1,yes
93,Is the computer screen visible? a)yes b) no,b),No,1,yes
94,Is the computer screen visible? a)yes b) no,a),No,0,no
95,Is this top view of the web or side view? a)toop b)side,a),This is a top view of the web.,1,yes
96,Is this top view of the web or side view? a)toop b)side,b),This is a side view of the web.,1,yes
97,Is the keyboard inclined from the surface? a)yes b)no,b),"Yes, the keyboard is inclined from the surface.",0,no
98,Is the keyboard inclined from the surface? a)yes b)no,a),"Yes, the keyboard is inclined from the surface.",1,yes
99,Are there any clouds in the sky? a)yes b)no,a),"Yes, there are clouds in the sky.",1,yes
100,Are there any clouds in the sky? a)yes b)no,b),No,1,yes
101,Is the girl with the ball raising both her hands above the head? a)yes b)no,b),"Yes, the girl with the ball is raising both her hands above the head.",0,no
102,Is the girl with the ball raising both her hands above the head? a)yes b)no,a),"Yes, the girl with the ball is raising both her hands above the head.",1,yes
103,Is the syring facing upwards or downwards? a)upwards b)downwards,a),The syringe is facing upwards.,1,yes
104,Is the syring facing upwards or downwards? a)upwards b)downwards,b),The syringe is facing upwards.,0,no
105,How many apples are there in the image? a) single b) multiple,b),There is a single green apple in the image.,0,no
106,How many apples are there in the image? a) single b) multiple,a),There is a single green apple in the image.,1,yes
107,Does the butterfly has antennas? a) yes b)no,a),"Yes, the butterfly has antennas.",1,yes
108,Does the butterfly has antennas? a) yes b)no,b),"Yes, the butterfly has antennas.",0,no
109,Are the bird's wings facing upwards or downwards? a) upwards b) downwards,a),The bird's wings are facing upwards.,1,yes
110,Are the bird's wings facing upwards or downwards? a) upwards b) downwards,b),The bird's wings are facing upwards.,0,no
111,Is the grass green or yellow? a)green b)yellow,b),The grass is yellow.,1,yes
112,Is the grass green or yellow? a)green b)yellow,a),The grass is green.,1,yes
113,Is there a window present in the image? a) yes b)no,a),"Yes, there is a window present in the image.",1,yes
114,Is there a window present in the image? a) yes b)no,b),No,1,yes
115,Is the snail head on the road or on the mud? a)road b)mud,b),"The snail head is on the mud, not on the road.",1,yes
116,Is the snail head on the road or on the mud? a)road b)mud,a),The snail head is on the road.,1,yes
117,Are the complete ears of the cat visible? a)yes b)no,a),"No, the cat's ears are not fully visible in the image.",0,no
118,Are the complete ears of the cat visible? a)yes b)no,b),"No, the cat's ears are not visible in the image.",1,yes
119,Is this the front view of the eagle or the side view? a)front b)side,b),This is a side view of the eagle.,1,yes
120,Is this the front view of the eagle or the side view? a)front b)side,a),This is the front view of the eagle.,1,yes
121,Is the corn wrapped around in its leaves? a)yes b)no,a),"Yes, the corn is wrapped around in its leaves.",1,yes
122,Is the corn wrapped around in its leaves? a)yes b)no,b),"Yes, the corn is wrapped around in its leaves.",0,no
123,Is the duck in water? a)yes b)no,b),No,1,yes
124,Is the duck in water? a)yes b)no,a),"Yes, the duck is in water.",1,yes
125,Is there are single person in the image? a) yes b)no,a),"Yes, there is a single person in the image.",1,yes
126,Is there are single person in the image? a) yes b)no,b),No,1,yes
127,Is the stem of the flower visible? a) yes b)no,b),No,1,yes
128,Is the stem of the flower visible? a) yes b)no,a),"Yes, the stem of the flower is visible in the image.",1,yes
129,Is the text 'SCHOOL BUS' completely visible? a) yes b)no,a),"Yes, the text 'SCHOOL BUS' is completely visible in the image.",1,yes
130,Is the text 'SCHOOL BUS' completely visible? a) yes b)no,b),No,1,yes
131,Is the brown dog's head towards left or right or left of black dog? a)right b)left,b),a) Right,0,no
132,Is the brown dog's head towards left or right or left of black dog? a)right b)left,a),a) Right,1,yes
133,Are 5 blue buttons present in center of the remote? a) yes b) no,b),"Yes, there are five blue buttons in the center of the remote.",0,no
134,Are 5 blue buttons present in center of the remote? a) yes b) no,a),"Yes, there are five blue buttons in the center of the remote.",1,yes
135,How many glasses are there in the image? a) one b)multiple,a),There is only one glass in the image.,1,yes
136,How many glasses are there in the image? a) one b)multiple,b),"There are multiple glasses in the image, with one glass filled with red wine and another glass filled with white wine.",1,yes
137,Is the head of the snake lying on its body? a)yes b)no,a),"Yes, the head of the snake is lying on its body.",1,yes
138,Is the head of the snake lying on its body? a)yes b)no,b),"Yes, the head of the snake is lying on its body.",0,no
139,"Is the text ""LJ55 YEU"" visible in the image? a) yes b) no",b),"Yes, the text ""LJ55 YEU"" is visible in the image.",0,no
140,"Is the text ""LJ55 YEU"" visible in the image? a) yes b) no",a),"Yes, the text ""LJ55 YEU"" is visible in the image.",1,yes
141,Is the elephant trunk rising? a) yes b) no,a),"Yes, the elephant's trunk is rising in the image.",1,yes
142,Is the elephant trunk rising? a) yes b) no,b),"Yes, the elephant's trunk is rising in the image.",0,no
143,Is the bug above or below its resting surface? a) above b) below,a),"The bug is above its resting surface, as it is sitting on a leaf.",1,yes
144,Is the bug above or below its resting surface? a) above b) below,b),"The bug is above its resting surface, as it is perched on a leaf.",0,no
145,Is the glass filled more than 50%? a) yes b) no,b),"Yes, the glass is filled more than 50%.",0,no
146,Is the glass filled more than 50%? a) yes b) no,a),No,0,no
147,Is the head of the snake visible? a) yes b) no,a),"No, the head of the snake is not visible in the image.",0,no
148,Is the head of the snake visible? a) yes b) no,b),"No, the head of the snake is not visible in the image.",1,yes
149,What color is the piano structure? a) black b) brown,b),The piano structure is brown.,1,yes
150,What color is the piano structure? a) black b) brown,a),The piano structure is black.,1,yes
151,Is the sun in front of the running woman? a) yes b) no,a),"No, the sun is not in front of the running woman. The sun is behind her, creating a silhouette effect.",1,yes
152,Is the sun in front of the running woman? a) yes b) no,a),"No, the sun is not in front of the running woman. The sun is behind her, creating a beautiful backdrop for the scene.",0,no
153,Are there any white vegatables present in the image? a) yes b) no,a),"Yes, there are white vegetables present in the image, including onions and garlic.",1,yes
154,Are there any white vegatables present in the image? a) yes b) no,b),"Yes, there are white vegetables present in the image.",0,no
155,Are there any pictures hanging on the bed wall? a)yes b)no,a),"Yes, there are pictures hanging on the bed wall.",1,yes
156,Are there any pictures hanging on the bed wall? a)yes b)no,b),"Yes, there are pictures hanging on the bed wall.",0,no
157,Are there any side mirrors present in the image? a) yes b) no,b),"Yes, there is a side mirror on the red motorcycle in the image.",0,no
158,Are there any side mirrors present in the image? a) yes b) no,a),"Yes, there are side mirrors present in the image.",1,yes
159,Is this the front view of the person or side view? a) front b) side,a),The image shows a side view of the person wearing a hard hat.,0,no
160,Is this the front view of the person or side view? a) front b) side,b),The image shows a side view of the person wearing a yellow safety vest.,1,yes
161,Is the table light brown or dark brown? a)light brown b) dark brown,a),The table is light brown.,1,yes
