Index,Question,Options,Correct Answer
1,Are the butterfly wings opened or closed in the given image?,a) Opened and b) Closed,a)
2,Are the butterfly wings opened or closed in the given image?,a) Opened and b) Closed,b)
3,Is the flame 'thicker and shorter' or 'thinner and longer'?,a) 'Thicker and Shorter' b) 'Thinner and longer',a)
4,Is the flame 'thicker and shorter' or 'thinner and longer'?,a) 'Thicker and Shorter' b) 'Thinner and longer',b)
5,Is the dog looking towards left or right?,a) left b) right,a)
6,Is the dog looking towards left or right?,a) left b) right,b)
7,Is this the front view of the bus or the back view of the bus?,a)front b)back,a)
8,Is this the front view of the bus or the back view of the bus?,a)front b)back,b)
9,Is this the front view of the keybaord or the sideview of the keyboard?,a)front b)side,a)
10,Is this the front view of the keybaord or the sideview of the keyboard?,a)front b)side,b)
11,Is the peacock's neck bent or straight?,a)straight b)bent,a)
12,Is the peacock's neck bent or straight?,a)straight b)bent,b)
13,Is it a zoomed in view of the corn or a zoomed out view?,a) zoomed in b)zoomed out,a)
14,Is it a zoomed in view of the corn or a zoomed out view?,a) zoomed in b)zoomed out,b)
15,Is the center of the flower in shade or in sunlight?,a)shade b)sunlight,a)
16,Is the center of the flower in shade or in sunlight?,a)shade b)sunlight,b)
17,Is the bus facing towards left or right?,a)left b)right,a)
18,Is the bus facing towards left or right?,a)left b)right,b)
19,Is the shark facing towards left or right?,a)left b)right,a)
20,Is the shark facing towards left or right?,a)left b)right,b)
21,Are the duck's feet visible or not?,a)yes b)no,b)
22,Are the duck's feet visible or not?,a)yes b)no,a)
23,Is the snake looking towards the camera or sideways?,a)towards the camera b)sideways,a)
24,Is the snake looking towards the camera or sideways?,a)towards the camera b)sideways,b)
25,Is the hen's neck white or reddish?,a)white b)reddish,a)
26,Is the hen's neck white or reddish?,a)white b)reddish,b)
27,Is the face of the peacock visible?,a) Yes b) No,a)
28,Is the face of the peacock visible?,a) Yes b) No,b)
29,Is there a stop sign on the bus?,a)yes b) No,a)
30,Is there a stop sign on the bus?,a)yes b) No,b)
