Index,Question,Correct Answer,Response,Score,GPT_Grade
1,Are the butterfly's wings closer to being open or closed? (a) Open (b) Closed,(a),A,1,yes
2,Are the butterfly's wings closer to being open or closed? (a) Open (b) Closed,(b),A,0,no
3,Is the flame of the match more round or thin? (a) Round (b) Thin,(a),The flame of the match is more round in shape.,1,yes
4,Is the flame of the match more round or thin? (a) Round (b) Thin,(b),The flame of the match is thin.,1,yes
5,Is the dog facing left or right from the camera's perspective? (a) Left (b) Right,(a),A,1,yes
6,Is the dog facing left or right from the camera's perspective? (a) Left (b) Right,(b),A,0,no
7,Is the school bus driving towards or away from the camera? (a) Towards the camera (b) Away from the camera,(a),A,1,yes
8,Is the school bus driving towards or away from the camera? (a) Towards the camera (b) Away from the camera,(b),The school bus is driving away from the camera.,1,yes
9,"Can you see the key ""Z"" in the image? (a) Yes (b) No",(a),No,0,no
10,"Can you see the key ""Z"" in the image? (a) Yes (b) No",(b),No,1,yes
11,Has the peacock opened its tail? (a) Yes (b) No,(a),No,0,no
12,Has the peacock opened its tail? (a) Yes (b) No,(b),No,1,yes
13,Is the image more likely of a single ear of corn or multiple ears (a) Single (b) Multiple,(a),B,0,no
14,Is the image more likely of a single ear of corn or multiple ears (a) Single (b) Multiple,(b),B,1,yes
15,Is there a shadow on the flower? (a) Yes (b) No,(a),No,0,no
16,Is there a shadow on the flower? (a) Yes (b) No,(b),No,1,yes
17,Is the front of the school bus protruding? (a) Yes (b) No,(a),A,1,yes
18,Is the front of the school bus protruding? (a) Yes (b) No,(b),A,0,no
19,Can you see the dorsal fin of the animal? (a) Yes (b) No,(a),Yes,1,yes
20,Can you see the dorsal fin of the animal? (a) Yes (b) No,(b),Yes,0,no
21,Is the duck's entire beak visible in the picture? (a) Yes (b) No,(a),No,0,no
22,Is the duck's entire beak visible in the picture? (a) Yes (b) No,(b),No,1,yes
23,From which angle is this image taken? (a) Front (b) Side,(a),A,1,yes
24,From which angle is this image taken? (a) Front (b) Side,(b),A,0,no
25,What color is the chicken's body? (a) Black (b) Red,(a),The chicken's body is black.,1,yes
26,What color is the chicken's body? (a) Black (b) Red,(b),B,1,yes
27,Is the peacock's head visible in the image? (a) Yes (b) No,(a),Yes,1,yes
28,Is the peacock's head visible in the image? (a) Yes (b) No,(b),No,1,yes
29,"Based on the image, is the following statement correct: We cannot see the window on the school bus? (a) Correct (b) Incorrect",(a),B) Incorrect,0,no
30,"Based on the image, is the following statement correct: We cannot see the window on the school bus? (a) Correct (b) Incorrect",(b),B,1,yes
31,Is the wind blowing the flag? (a) Yes (b) No,(a),Yes,1,yes
32,Is the wind blowing the flag? (a) Yes (b) No,(b),Yes,0,no
33,Is the butterfly's abdomen visible in the image? (a) Yes (b) No,(a),No,0,no
34,Is the butterfly's abdomen visible in the image? (a) Yes (b) No,(b),No,1,yes
35,Do the vegetables have spikes? (a) Yes (b) No,(a),B,0,no
36,Do the vegetables have spikes? (a) Yes (b) No,(b),B,1,yes
37,What color are the flowers in the background? (a) Pink (b) Violet,(a),A,1,yes
38,What color are the flowers in the background? (a) Pink (b) Violet,(b),B,1,yes
39,Is the duck floating? (a) Yes (b) No,(a),Yes,1,yes
40,Is the duck floating? (a) Yes (b) No,(b),No,1,yes
41,"Based on the image, is the following statement correct: The spider has 8 legs? (a) Yes (b) No",(a),Yes,1,yes
42,"Based on the image, is the following statement correct: The spider has 8 legs? (a) Yes (b) No",(b),Yes,0,no
43,Are the wheels of the school bus visible in the image? (a) Yes (b) No,(a),No,0,no
44,Are the wheels of the school bus visible in the image? (a) Yes (b) No,(b),No,1,yes
45,Is the shark's belly visible in this image? (a) Yes (b) No,(a),No,0,no
46,Is the shark's belly visible in this image? (a) Yes (b) No,(b),No,1,yes
47,How many spots are on the animal in the image? (a) 5 (b) 6,(a),There are 6 spots on the animal in the image.,0,no
48,How many spots are on the animal in the image? (a) 5 (b) 6,(b),There are 6 spots on the animal in the image.,1,yes
49,Are the arrow keys visible in the image? (a) Yes (b) No,(a),No,0,no
50,Are the arrow keys visible in the image? (a) Yes (b) No,(b),No,1,yes
51,Is the elephant's trunk curled in the picture? (a) Yes (b) No,(a),A,1,yes
52,Is the elephant's trunk curled in the picture? (a) Yes (b) No,(b),Yes,0,no
53,Is the number of pills in the image in the range of countable? (a) Yes (b) No,(a),Yes,1,yes
54,Is the number of pills in the image in the range of countable? (a) Yes (b) No,(b),Yes,0,no
55,Can you see stems of bananas in the image? (a) Yes (b) No,(a),Yes,1,yes
56,Can you see stems of bananas in the image? (a) Yes (b) No,(b),B,1,yes
57,Is the crocodile submerged in the water? (a) Yes (b) No,(a),No,0,no
58,Is the crocodile submerged in the water? (a) Yes (b) No,(b),No,1,yes
59,Is the lock locked to the chain-linked fence? (a) Yes (b) No,(a),No,0,no
60,Is the lock locked to the chain-linked fence? (a) Yes (b) No,(b),A,0,no
61,"Can you see letter ""J"" in the image? (a) Yes (b) No",(a),Yes,1,yes
62,"Can you see letter ""J"" in the image? (a) Yes (b) No",(b),No,1,yes
63,"Is the following statement correct: In the image, there is one daisy that is under the shadow of a taller daisy.  (a) Correct (b) Incorrect",(a),B,0,no
64,"Is the following statement correct: In the image, there is one daisy that is under the shadow of a taller daisy.  (a) Correct (b) Incorrect",(b),B,0,no
65,Is the following statement correct: There is no letter D on this image.  (a) Correct (b) Incorrect,(a),B,0,no
66,Is the following statement correct: There is no letter D on this image.  (a) Correct (b) Incorrect,(b),B,0,no
67,Are there any clouds? (a) Yes (b) No,(a),Yes,1,yes
68,Are there any clouds? (a) Yes (b) No,(b),No,1,yes
69,Did the snake stick out its tongue and touch its skin? (a) Yes (b) No,(a),A,1,yes
70,Did the snake stick out its tongue and touch its skin? (a) Yes (b) No,(b),A,0,no
71,Is the lock locked or unlocked? (a) Locked (b) Unlocked,(a),The lock is locked.,1,yes
72,Is the lock locked or unlocked? (a) Locked (b) Unlocked,(b),The lock is locked.,0,no
73,Is the ground wet? (a) Yes (b) No,(a),A,1,yes
74,Is the ground wet? (a) Yes (b) No,(b),B,1,yes
75,Do you see this flower from the top or the side? (a) Top (b) Side,(a),A,1,yes
76,Do you see this flower from the top or the side? (a) Top (b) Side,(b),A,0,no
77,Can you see the caudal fin of the shark in the image? (a) Yes (b) No,(a),No,0,no
78,Can you see the caudal fin of the shark in the image? (a) Yes (b) No,(b),No,1,yes
79,"In the image, is the snake's head oriented facing upwards or directed forwards? (a) Upwards (b) Forward",(a),The snake's head is oriented facing upwards in the image.,1,yes
80,"In the image, is the snake's head oriented facing upwards or directed forwards? (a) Upwards (b) Forward",(b),The snake's head is oriented facing upwards in the image.,0,no
81,Is this a hammerhead shark? (a) Yes (b) No,(a),B,0,no
82,Is this a hammerhead shark? (a) Yes (b) No,(b),B,1,yes
83,Is the door of the truck cab open? (a) Yes (b) No,(a),A,1,yes
84,Is the door of the truck cab open? (a) Yes (b) No,(b),No,1,yes
85,Are the ears of the dog erect or drooping? (a) Erect (b) Drooping,(a),The ears of the dog are drooping.,0,no
86,Are the ears of the dog erect or drooping? (a) Erect (b) Drooping,(b),The ears of the dog are drooping.,1,yes
87,Is there a hand using the mouse in the image? (a) Yes (b) No,(a),No,0,no
88,Is there a hand using the mouse in the image? (a) Yes (b) No,(b),No,1,yes
89,Can you see people in this image? (a) Yes (b) No,(a),Yes,1,yes
90,Can you see people in this image? (a) Yes (b) No,(b),No,1,yes
91,Are there any words displayed on the vehicle's lightbar? (a) Yes (b) No,(a),Yes,1,yes
92,Are there any words displayed on the vehicle's lightbar? (a) Yes (b) No,(b),Yes,0,no
93,Is there any accessory on the wrists? (a) Yes (b) No,(a),Yes,1,yes
94,Is there any accessory on the wrists? (a) Yes (b) No,(b),No,1,yes
95,"From the camera's perspective, is the spider web very dense or relatively sparse? (a) Very dense (b) Relatively sparse",(a),"From the camera's perspective, the spider web appears to be very dense.",1,yes
96,"From the camera's perspective, is the spider web very dense or relatively sparse? (a) Very dense (b) Relatively sparse",(b),"From the camera's perspective, the spider web appears to be very dense.",0,no
97,Does the keyboard have a backlight? (a) Yes (b) No,(a),Yes,1,yes
98,Does the keyboard have a backlight? (a) Yes (b) No,(b),Yes,0,no
99,Does the elephant have long or short tusks? (a) Long (b) Short,(a),A,1,yes
100,Does the elephant have long or short tusks? (a) Long (b) Short,(b),A,0,no
101,What is the woman more likely to do? (a) Bump (b) Set,(a),"The woman in the yellow shirt is more likely to bump the ball, as she is positioned closer to the ball and appears to be preparing to make contact with it. Bumping is a common technique used in volleyball to pass the ball to a teammate, while setting is typically done by the player who is positioned further back in the court.",1,yes
102,What is the woman more likely to do? (a) Bump (b) Set,(b),"The woman is more likely to bump the ball, as she is positioned closer to the net and is actively reaching for the ball during the game. Bumping is a common volleyball technique used to control the ball and prepare for a set or attack.",0,no
103,Is the needle pointing up or down? (a) Up (b) Down,(a),A,1,yes
104,Is the needle pointing up or down? (a) Up (b) Down,(b),The needle is pointing up in the image.,0,no
105,Is the camera positioned at eye level or looking down from above? (a) Eye level (b) Above,(a),"The camera is positioned at eye level, looking down at the green apple.",0,no
106,Is the camera positioned at eye level or looking down from above? (a) Eye level (b) Above,(b),A,0,no
107,Are the butterfly's feet visible? (a) Yes (b) No,(a),Yes,1,yes
108,Are the butterfly's feet visible? (a) Yes (b) No,(b),No,1,yes
109,Are the bird's wings flapping upward or downward? (a) Upward (b) Downward,(a),The bird's wings are flapping upward in the image.,1,yes
110,Are the bird's wings flapping upward or downward? (a) Upward (b) Downward,(b),The bird's wings are flapping upward in the image.,0,no
111,Is the end of the elephant's trunk pointing inward or outward? (a) Inward (b) Outward,(a),The end of the elephant's trunk is pointing outward.,0,no
112,Is the end of the elephant's trunk pointing inward or outward? (a) Inward (b) Outward,(b),The end of the elephant's trunk is pointing inward.,0,no
113,Do you see any window in this image? (a) Yes (b) No,(a),Yes,1,yes
114,Do you see any window in this image? (a) Yes (b) No,(b),No,1,yes
115,Is the snail in the picture facing the camera or away from the camera? (a) Away from the camera (b) Facing the camera ,(a),Away from the camera,1,yes
116,Is the snail in the picture facing the camera or away from the camera? (a) Away from the camera (b) Facing the camera ,(b),Away from the camera,0,no
117,How many eyes of the cat can you see in the picture? (a) 1 (b) 2,(a),"In the picture, you can see one eye of the cat.",1,yes
118,How many eyes of the cat can you see in the picture? (a) 1 (b) 2,(b),B,1,yes
119,"In this image, how many eyes can you see on the animal? (a) 1 (b) 2",(a),B,0,no
120,"In this image, how many eyes can you see on the animal? (a) 1 (b) 2",(b),B,1,yes
121,Does this corn have white kernels? (a) Yes (b) No,(a),A,1,yes
122,Does this corn have white kernels? (a) Yes (b) No,(b),No,1,yes
123,Is this duck facing left or right from the camera's perspective? (a) Left (b) Right,(a),A,1,yes
124,Is this duck facing left or right from the camera's perspective? (a) Left (b) Right,(b),A,0,no
125,Can you see a door in this image? (a) Yes (b) No,(a),Yes,1,yes
126,Can you see a door in this image? (a) Yes (b) No,(b),No,1,yes
127,Is the flower's center protruding or indented? (a) Protruding (b) Indented,(a),B,0,no
128,Is the flower's center protruding or indented? (a) Protruding (b) Indented,(b),(b) Indented,1,yes
129,"From the camera's perspective, are the words ""SCHOOL BUS"" in the picture facing straight or oriented at an angle? (a) Directly towards the camera (b) At an angle",(a),B) At an angle,0,no
130,"From the camera's perspective, are the words ""SCHOOL BUS"" in the picture facing straight or oriented at an angle? (a) Directly towards the camera (b) At an angle",(b),B) At an angle,1,yes
131,Where is the yellow animal's head lying in this image? (a) Floor (b) Carpet,(a),The yellow animal's head is lying on the floor in this image.,1,yes
132,Where is the yellow animal's head lying in this image? (a) Floor (b) Carpet,(b),The yellow animal's head is lying on the floor in this image.,0,no
133,What does the center button say? (a) OK/SELECT (b) OK,(a),A,0,no
134,What does the center button say? (a) OK/SELECT (b) OK,(b),A,0,no
135,How many cup(s) of drink are there in the image? (a) 1 (b) 2,(a),There is only one cup of drink in the image.,1,yes
136,How many cup(s) of drink are there in the image? (a) 1 (b) 2,(b),There are two cups of drink in the image.,1,yes
137,"In the picture, how is the snake primarily positioned? (a) Coiled (b) Head extended",(a),"The snake is primarily positioned with its head extended, as it is seen resting its head on a rock.",0,no
138,"In the picture, how is the snake primarily positioned? (a) Coiled (b) Head extended",(b),"The snake is primarily positioned with its head extended, as it is seen hanging off a branch in the image.",1,yes
139,Can you see the side windows of the vehicles? (a) Yes (b) No,(a),Yes,1,yes
140,Can you see the side windows of the vehicles? (a) Yes (b) No,(b),No,1,yes
141,Is the elephant's trunk raised or lowered? (a) Raised (b) Lowered,(a),The elephant's trunk is raised in the image.,1,yes
142,Is the elephant's trunk raised or lowered? (a) Raised (b) Lowered,(b),The elephant's trunk is raised in the image.,0,no
143,Is the ladybug positioned upright or upside down? (a) Upright (b) Upside down,(a),The ladybug is positioned upside down on the branch.,0,no
144,Is the ladybug positioned upright or upside down? (a) Upright (b) Upside down,(b),The ladybug is positioned upside down.,1,yes
145,Is the photo taken looking down from above or looking up from below? (a) Looking down from above (b) Looking up from below,(a),A,1,yes
146,Is the photo taken looking down from above or looking up from below? (a) Looking down from above (b) Looking up from below,(b),A,0,no
147,"In the picture, is the snake's head visible or not visible? (a) Visible (b) Not visible",(a),"In the picture, the snake's head is not visible.",0,no
148,"In the picture, is the snake's head visible or not visible? (a) Visible (b) Not visible",(b),"In the picture, the snake's head is not visible.",1,yes
149,Is the piano's back panel on the left or right side? (a) Left (b) Right,(a),B,0,no
150,Is the piano's back panel on the left or right side? (a) Left (b) Right,(b),B,1,yes
151,The image captures a woman running from: (a) Back view (b) Side view,(a),The image captures a woman running from a back view.,1,yes
152,The image captures a woman running from: (a) Back view (b) Side view,(b),A (b) side view of the woman running.,0,no
153,How many red apples are there in the image? (a) One (b) More than one,(a),B,0,no
154,How many red apples are there in the image? (a) One (b) More than one,(b),B,1,yes
155,Is the vase beside the bedside table or on the windowsill? (a) Beside the bedside Table (b) On the Windowsill,(a),A) Beside the bedside table,1,yes
156,Is the vase beside the bedside table or on the windowsill? (a) Beside the bedside Table (b) On the Windowsill,(b),B,0,no
157,Is the frame at the front of the motorcycle primarily silver or black in color? (a) Silver (b) Black,(a),The frame at the front of the motorcycle is primarily silver in color.,1,yes
158,Is the frame at the front of the motorcycle primarily silver or black in color? (a) Silver (b) Black,(b),The frame at the front of the motorcycle is primarily silver in color.,0,no
159,"For the people operating the machine in the image, can you see one arm or both arms? (a) One arm (b) Both arms",(a),(a) One arm,1,yes
160,"For the people operating the machine in the image, can you see one arm or both arms? (a) One arm (b) Both arms",(b),Both arms,1,yes
161,Is the minute hand of the clock closer to 12 or closer to 1? (a) 12 (b) 1 ,(a),B,0,no
162,Is the minute hand of the clock closer to 12 or closer to 1? (a) 12 (b) 1 ,(b),B,0,no
163,Is the Christmas tree positioned in front of a large window or in front of a wall situated between two windows? (a) In front of a large window (b) In front of a wall between two windows,(a),The Christmas tree is positioned in front of a large window.,1,yes
164,Is the Christmas tree positioned in front of a large window or in front of a wall situated between two windows? (a) In front of a large window (b) In front of a wall between two windows,(b),The Christmas tree is positioned in front of a large window.,0,no
165,"In this image, are the berries placed (a) On a dish (b) In bowls of yogurts",(a),The berries are placed in bowls of yogurts.,0,no
166,"In this image, are the berries placed (a) On a dish (b) In bowls of yogurts",(b),(a) The berries are placed on a dish.,0,no
167,Are some fruits cut open or are all the fruits uncut? (a) Some are cut open (b) All are uncut,(a),(a) Some are cut open,1,yes
168,Are some fruits cut open or are all the fruits uncut? (a) Some are cut open (b) All are uncut,(b),A) Some are cut open,0,no
169,Is there a knee visible in the image? (a) Yes (b) No,(a),Yes,1,yes
170,Is there a knee visible in the image? (a) Yes (b) No,(b),No,1,yes
171,Does the snowman in the picture have a mouth? (a) Yes (b) No,(a),Yes,1,yes
172,Does the snowman in the picture have a mouth? (a) Yes (b) No,(b),No,1,yes
173,Is the decoration on the Easter egg flat or raised? (a) Flat (b) Raised,(a),The decoration on the Easter egg is raised.,0,no
174,Is the decoration on the Easter egg flat or raised? (a) Flat (b) Raised,(b),The decoration on the Easter egg is raised.,1,yes
175,"In the image, is the nail polish on the toes dark or light in color? (a) Dark (b) Light",(a),(a) Dark,1,yes
176,"In the image, is the nail polish on the toes dark or light in color? (a) Dark (b) Light",(b),(b) Light,1,yes
177,"In the picture, is the person facing the ocean or turned sideways to the ocean? (a) Facing the ocean (b) Turned sideways to the ocean",(a),"The person is facing the ocean, with the sun setting behind them.",1,yes
178,"In the picture, is the person facing the ocean or turned sideways to the ocean? (a) Facing the ocean (b) Turned sideways to the ocean",(b),"The person in the picture is facing the ocean, with the sun shining on them.",0,no
179,How many wheels can you see in the image? (a) 1 (b) 2,(a),B,0,no
180,How many wheels can you see in the image? (a) 1 (b) 2,(b),B,1,yes
181,Is the stripe in the middle of the car blue or white? (a) Blue (b) White,(a),Blue,1,yes
182,Is the stripe in the middle of the car blue or white? (a) Blue (b) White,(b),B,1,yes
183,Are the teddy bears holding hands or leaning against each other? (a) Holding hands (b) Leaning against,(a),The teddy bears are holding hands.,1,yes
184,Are the teddy bears holding hands or leaning against each other? (a) Holding hands (b) Leaning against,(b),The teddy bears are holding hands.,0,no
185,Is the person in the picture already standing on the weighing scale? (a) Yes (b) No,(a),No,0,no
186,Is the person in the picture already standing on the weighing scale? (a) Yes (b) No,(b),No,1,yes
187,"In the picture, is the person stretching out one arm or both arms above their head? (a) One arm (b) Both arms",(a),"In the picture, the person is stretching out both arms above their head.",0,no
188,"In the picture, is the person stretching out one arm or both arms above their head? (a) One arm (b) Both arms",(b),The person in the picture is stretching out both arms above their head.,1,yes
189,Is the person in the picture on the grass or on the gravel path? (a) Grass (b) Gravel path,(a),"The person in the picture is on the grass, not on the gravel path.",1,yes
190,Is the person in the picture on the grass or on the gravel path? (a) Grass (b) Gravel path,(b),The person in the picture is on the gravel path.,1,yes
191,Is there a flower next to the Easter egg in the picture? (a) Yes (b) No,(a),Yes,1,yes
192,Is there a flower next to the Easter egg in the picture? (a) Yes (b) No,(b),No,1,yes
193,Are these vegetables placed on the floor or on the soil? (a) Floor (b) Soil,(a),The vegetables are placed on the floor.,1,yes
194,Are these vegetables placed on the floor or on the soil? (a) Floor (b) Soil,(b),"The vegetables are placed on the soil, not on the floor.",1,yes
195,Are juice and all carrots on the same surface? (a) Yes (b) No,(a),B,0,no
196,Are juice and all carrots on the same surface? (a) Yes (b) No,(b),No,1,yes
197,Is the person weighing themselves barefoot? (a) Yes (b) No,(a),Yes,1,yes
198,Is the person weighing themselves barefoot? (a) Yes (b) No,(b),No,1,yes
199,Which type of eggs are in the corner of the picture? (a) Quail eggs (b) Chicken eggs ,(a),B,0,no
